Month,Department,Account,Budget,Actual,Variance,VariancePct
2025-12-01,Sales,Other OpEx,10189.8,10574.61,384.81,0.037764
2025-12-01,Marketing,Revenue,174048.0,172658.07,-1389.93,-0.007986
2025-12-01,Marketing,COGS,73100.16,74114.39,1014.23,0.013875
2025-12-01,Marketing,Payroll,57742.2,58830.82,1088.62,0.018853
2025-12-01,Marketing,Software,11888.1,12303.04,414.94,0.034903
2025-12-01,Marketing,Travel,5283.6,5739.87,456.27,0.086356
2025-12-01,Marketing,Facilities,7170.6,7524.52,353.92,0.049358
2025-12-01,Marketing,Other OpEx,10189.8,11222.08,1032.28,0.101305
2025-12-01,R&D,Revenue,130536.0,133050.17,2514.17,0.01926
2025-12-01,R&D,COGS,54825.12,56350.07,1524.95,0.027815
2025-12-01,R&D,Payroll,80839.08,87445.19,6606.11,0.081719
2025-12-01,R&D,Software,16643.34,18424.44,1781.1,0.107016
2025-12-01,R&D,Travel,5283.6,5813.58,529.98,0.100307
2025-12-01,R&D,Facilities,7170.6,7760.02,589.42,0.082199
2025-12-01,R&D,Other OpEx,10189.8,11177.07,987.27,0.096889
2025-12-01,Operations,Revenue,108780.0,113365.23,4585.23,0.042151
2025-12-01,Operations,COGS,45687.6,46175.16,487.56,0.010672
2025-12-01,Operations,Payroll,57742.2,59802.11,2059.91,0.035674
2025-12-01,Operations,Software,11888.1,12590.91,702.81,0.059118
2025-12-01,Operations,Travel,5283.6,5696.53,412.93,0.078153
2025-12-01,Operations,Facilities,7170.6,7501.28,330.68,0.046115
2025-12-01,Operations,Other OpEx,10189.8,10661.69,471.89,0.04631
2025-12-01,G&A,Revenue,76146.0,79947.29,3801.29,0.049921
2025-12-01,G&A,COGS,31981.32,33509.82,1528.5,0.047794
2025-12-01,G&A,Payroll,57742.2,61632.15,3889.95,0.067368
2025-12-01,G&A,Software,11888.1,12827.08,938.98,0.078985
2025-12-01,G&A,Travel,5283.6,5723.64,440.04,0.083283
2025-12-01,G&A,Facilities,7170.6,7442.69,272.09,0.037945
2025-12-01,G&A,Other OpEx,10189.8,10497.51,307.71,0.030198
